rank,code,occupation_classification,probability
191,25-2012,Educational - Library,0.15
192,47-2111,Construction,0.15
193,17-2171,Architecture - Engineering,0.16
194,43-9031,Office - Administrative Support,0.16
195,11-1021,Management,0.16
196,29-9011,Health Care - Technical,0.17
197,33-2011,Protective Services,0.17
198,13-2061,Business - Financial Operations,0.17
199,47-1011,Construction,0.17
200,25-2022,Educational - Library,0.17
201,27-3031,Art - Design - Media - Sports,0.18
202,49-9092,Installation - Maintenance - Repair,0.18
203,49-9095,Installation - Maintenance - Repair,0.18
204,53-2011,Transportation - Material Moving,0.18
205,25-3011,Educational - Library,0.19
206,19-1041,Life - Physical - Social Science,0.2
207,39-4831,Personal Care - Service,0.2
208,15-1179,Computer - Mathematical,0.21
209,15-2011,Computer - Mathematical,0.21
210,33-9011,Protective Services,0.21
211,39-6012,Personal Care - Service,0.21
212,15-1799,Computer - Mathematical,0.22
213,15-2041,Computer - Mathematical,0.22
214,17-2061,Architecture - Engineering,0.22
215,19-3022,Life - Physical - Social Science,0.23
216,13-1199,Business - Financial Operations,0.23
217,13-2051,Business - Financial Operations,0.23
218,29-2037,Health Care - Technical,0.23
219,29-2031,Health Care - Technical,0.23
220,13-1011,Business - Financial Operations,0.24
221,17-3029,Architecture - Engineering,0.24
222,19-3092,Life - Physical - Social Science,0.25
223,29-9012,Health Care - Technical,0.25
224,21-1092,Community - Social Services,0.25
225,17-3025,Architecture - Engineering,0.25
226,11-9199,Management,0.25
227,53-3011,Transportation - Material Moving,0.25
228,41-4011,Sales,0.25
229,25-2023,Educational - Library,0.26
230,53-5021,Transportation - Material Moving,0.27
231,31-2012,Healthcare Support,0.27
232,49-9062,Installation - Maintenance - Repair,0.27
233,41-1011,Sales,0.28
234,27-2021,Art - Design - Media - Sports,0.28
235,39-1011,Personal Care - Service,0.28
236,39-5094,Personal Care - Service,0.29
237,13-1022,Business - Financial Operations,0.29
238,19-4021,Life - Physical - Social Science,0.3
239,31-9092,Healthcare Support,0.3
240,19-1023,Life - Physical - Social Science,0.3
241,35-2013,Food Preparation,0.3
242,13-1078,Business - Financial Operations,0.31
243,33-9021,Protective Services,0.31
244,27-4032,Art - Design - Media - Sports,0.31
245,13-2099,Business - Financial Operations,0.33
246,33-3021,Protective Services,0.34
247,29-2055,Health Care - Technical,0.34
248,29-1124,Health Care - Technical,0.34
249,47-2152,Construction,0.35
250,53-2031,Transportation - Material Moving,0.35
251,29-2032,Health Care - Technical,0.35
252,33-3011,Protective Services,0.36
253,51-4012,Production,0.36
254,49-2022,Installation - Maintenance - Repair,0.36
255,51-9051,Production,0.37
256,53-7061,Transportation - Material Moving,0.37
257,39-4021,Personal Care - Service,0.37
258,47-5081,Construction,0.37
259,27-2011,Art - Design - Media - Sports,0.37
260,53-7111,Transportation - Material Moving,0.37
261,49-2095,Installation - Maintenance - Repair,0.38
262,17-1022,Architecture - Engineering,0.38
263,17-3027,Architecture - Engineering,0.38
264,53-7064,Transportation - Material Moving,0.38
265,27-3091,Art - Design - Media - Sports,0.38
266,31-1011,Healthcare Support,0.39
267,51-6093,Production,0.39
268,47-4021,Construction,0.39
269,43-3041,Office - Administrative Support,0.39
270,25-9011,Educational - Library,0.39
271,23-1023,Legal,0.4
272,49-3042,Installation - Maintenance - Repair,0.4
273,29-2799,Health Care - Technical,0.4
274,45-2041,Farming - Fishing - Forestry,0.41
275,51-2041,Production,0.41
276,23-1012,Legal,0.41
277,49-2094,Installation - Maintenance - Repair,0.41
278,19-4093,Life - Physical - Social Science,0.42
279,53-1021,Transportation - Material Moving,0.42
280,39-3093,Personal Care - Service,0.43
281,19-2099,Life - Physical - Social Science,0.43
282,19-3011,Life - Physical - Social Science,0.43
283,19-3093,Life - Physical - Social Science,0.44
284,51-9082,Production,0.45
285,43-4031,Office - Administrative Support,0.46
286,13-1141,Business - Financial Operations,0.47
287,31-1013,Healthcare Support,0.47
288,29-2012,Health Care - Technical,0.47
289,33-2021,Protective Services,0.48
290,17-3021,Architecture - Engineering,0.48
291,27-1026,Art - Design - Media - Sports,0.48
292,47-5031,Construction,0.48
293,15-1131,Computer - Mathematical,0.48
294,33-9091,Protective Services,0.49
295,17-2021,Architecture - Engineering,0.49
296,47-5061,Construction,0.49
297,49-9052,Installation - Maintenance - Repair,0.49
298,43-5031,Office - Administrative Support,0.49
299,53-7033,Transportation - Material Moving,0.5
300,49-9799,Installation - Maintenance - Repair,0.5
301,23-2091,Legal,0.5
302,41-9011,Sales,0.51
303,31-9091,Healthcare Support,0.51
304,51-6041,Production,0.52
305,17-3011,Architecture - Engineering,0.52
306,47-5012,Construction,0.53
307,47-4041,Construction,0.53
308,39-4011,Personal Care - Service,0.54
309,47-5041,Construction,0.54
310,39-1012,Personal Care - Service,0.54
311,31-9011,Healthcare Support,0.54
312,41-3011,Sales,0.54
313,49-3022,Installation - Maintenance - Repair,0.55
314,53-2012,Transportation - Material Moving,0.55
315,43-4051,Office - Administrative Support,0.55
316,27-4011,Art - Design - Media - Sports,0.55
317,25-9041,Educational - Library,0.56
318,45-1011,Farming - Fishing - Forestry,0.57
319,19-4031,Life - Physical - Social Science,0.57
320,47-3015,Construction,0.57
321,13-1051,Business - Financial Operations,0.57
322,33-3052,Protective Services,0.57
323,37-1012,Building - Grounds Cleaning,0.57
324,13-2052,Business - Financial Operations,0.58
325,49-9044,Installation - Maintenance - Repair,0.59
326,25-4013,Educational - Library,0.59
327,47-5042,Construction,0.59
328,11-3071,Management,0.59
329,49-3092,Installation - Maintenance - Repair,0.59
330,49-3023,Installation - Maintenance - Repair,0.59
331,33-3012,Protective Services,0.6
332,27-4031,Art - Design - Media - Sports,0.6
333,51-3023,Production,0.6
334,49-2096,Installation - Maintenance - Repair,0.61
335,31-2022,Healthcare Support,0.61
336,39-3092,Personal Care - Service,0.61
337,13-1161,Business - Financial Operations,0.61
338,43-4181,Office - Administrative Support,0.61
339,51-8031,Production,0.61
340,19-4099,Life - Physical - Social Science,0.61
341,51-3093,Production,0.61
342,51-4122,Production,0.61
343,53-5022,Transportation - Material Moving,0.62
344,47-2082,Construction,0.62
345,47-2151,Construction,0.62
346,19-2042,Life - Physical - Social Science,0.63
347,49-9012,Installation - Maintenance - Repair,0.63
348,31-9799,Healthcare Support,0.63
349,35-1012,Food Preparation,0.63
350,47-4011,Construction,0.63
351,51-9031,Production,0.64
352,49-9071,Installation - Maintenance - Repair,0.64
353,23-1021,Legal,0.64
354,43-5081,Office - Administrative Support,0.64
355,51-8012,Production,0.64
356,47-2132,Construction,0.64
357,19-4061,Life - Physical - Social Science,0.65
358,51-4041,Production,0.65
359,15-115,Computer - Mathematical,0.65
360,25-4021,Educational - Library,0.65
361,49-2097,Installation - Maintenance - Repair,0.65
362,49-9021,Installation - Maintenance - Repair,0.65
363,53-7041,Transportation - Material Moving,0.65
364,37-2021,Building - Grounds Cleaning,0.66
365,51-9198,Production,0.66
366,43-9111,Office - Administrative Support,0.66
367,37-2011,Building - Grounds Cleaning,0.66
368,49-3051,Installation - Maintenance - Repair,0.66
369,51-9196,Production,0.67
370,51-4071,Production,0.67
371,19-2021,Life - Physical - Social Science,0.67
372,53-3021,Transportation - Material Moving,0.67
373,33-9092,Protective Services,0.67
374,49-9041,Installation - Maintenance - Repair,0.67
375,43-5052,Office - Administrative Support,0.68
376,47-5071,Construction,0.68
377,47-2011,Construction,0.68
378,17-3013,Architecture - Engineering,0.68
379,29-2021,Health Care - Technical,0.68
380,53-3033,Transportation - Material Moving,0.69
381,37-2012,Building - Grounds Cleaning,0.69
382,51-9122,Production,0.69
383,43-4061,Office - Administrative Support,0.7
384,49-3093,Installation - Maintenance - Repair,0.7
385,51-3092,Production,0.7
386,49-2091,Installation - Maintenance - Repair,0.7
387,49-3011,Installation - Maintenance - Repair,0.71
388,53-2022,Transportation - Material Moving,0.71
389,51-8093,Production,0.71
390,47-4799,Construction,0.71
391,29-2081,Health Care - Technical,0.71
392,51-6011,Production,0.71
393,39-3091,Personal Care - Service,0.72
394,31-9095,Healthcare Support,0.72
395,47-3016,Construction,0.72
396,53-7121,Transportation - Material Moving,0.72
397,49-9031,Installation - Maintenance - Repair,0.72
398,47-2031,Construction,0.72
399,27-3012,Art - Design - Media - Sports,0.72
400,51-6063,Production,0.73
401,11-3011,Management,0.73
402,47-2121,Construction,0.73
403,51-2021,Production,0.73
404,49-3031,Installation - Maintenance - Repair,0.73
405,49-2011,Installation - Maintenance - Repair,0.74
406,39-9021,Personal Care - Service,0.74
407,27-4012,Art - Design - Media - Sports,0.74
408,47-3013,Construction,0.74
409,11-9131,Management,0.75
410,47-2044,Construction,0.75
411,47-2141,Construction,0.75
412,53-6061,Transportation - Material Moving,0.75
413,17-3022,Architecture - Engineering,0.75
414,49-3041,Installation - Maintenance - Repair,0.75
415,25-4011,Educational - Library,0.76
416,51-9011,Production,0.76
417,49-2092,Installation - Maintenance - Repair,0.76
418,45-4021,Farming - Fishing - Forestry,0.76
419,19-4091,Life - Physical - Social Science,0.77
420,49-9094,Installation - Maintenance - Repair,0.77
421,37-3013,Building - Grounds Cleaning,0.77
422,35-3011,Food Preparation,0.77
423,13-1023,Business - Financial Operations,0.77
424,35-9021,Food Preparation,0.77
425,45-3021,Farming - Fishing - Forestry,0.77
426,31-9093,Healthcare Support,0.78
427,51-4031,Production,0.78
428,43-9011,Office - Administrative Support,0.78
429,51-8092,Production,0.78
430,43-5053,Office - Administrative Support,0.79
431,53-3032,Transportation - Material Moving,0.79
432,39-5093,Personal Care - Service,0.79
433,47-2081,Construction,0.79
434,49-9098,Installation - Maintenance - Repair,0.79
435,49-3052,Installation - Maintenance - Repair,0.79
436,51-2011,Production,0.79
437,45-4022,Farming - Fishing - Forestry,0.79
438,47-2042,Construction,0.79
439,39-5011,Personal Care - Service,0.8
440,47-5011,Construction,0.8
441,35-2011,Food Preparation,0.81
442,43-9022,Office - Administrative Support,0.81
443,17-3012,Architecture - Engineering,0.81
444,17-3024,Architecture - Engineering,0.81
445,51-9192,Production,0.81
446,11-9141,Management,0.81
447,43-6013,Office - Administrative Support,0.81
448,51-6021,Production,0.81
449,51-2031,Production,0.82
450,49-2098,Installation - Maintenance - Repair,0.82
451,49-9045,Installation - Maintenance - Repair,0.82
452,39-2021,Personal Care - Service,0.82
453,47-2211,Construction,0.82
454,47-2072,Construction,0.82
455,47-2021,Construction,0.82
456,45-3011,Farming - Fishing - Forestry,0.83
457,47-2221,Construction,0.83
458,53-4021,Transportation - Material Moving,0.83
459,53-4031,Transportation - Material Moving,0.83
460,35-2012,Food Preparation,0.83
461,53-5011,Transportation - Material Moving,0.83
462,51-9023,Production,0.83
463,47-3011,Construction,0.83
464,47-4091,Construction,0.83
465,47-2131,Construction,0.83
466,51-5112,Production,0.83
467,53-6031,Transportation - Material Moving,0.83
468,47-4071,Construction,0.83
469,39-6011,Personal Care - Service,0.83
470,41-2012,Sales,0.83
471,51-4023,Production,0.83
472,47-2071,Construction,0.83
473,51-4111,Production,0.84
474,17-3023,Architecture - Engineering,0.84
475,47-2161,Construction,0.84
476,51-4192,Production,0.84
477,51-4034,Production,0.84
478,33-9032,Protective Services,0.84
479,51-6052,Production,0.84
480,53-7073,Transportation - Material Moving,0.84
481,43-9081,Office - Administrative Support,0.84
482,33-3041,Protective Services,0.84
483,53-7062,Transportation - Material Moving,0.85
484,41-4012,Sales,0.85
485,43-5041,Office - Administrative Support,0.85
486,51-8013,Production,0.85
487,51-8091,Production,0.85
488,47-5021,Construction,0.85
489,19-4051,Life - Physical - Social Science,0.85
490,43-6011,Office - Administrative Support,0.86
491,51-8099,Production,0.86
492,35-3041,Food Preparation,0.86
493,51-7041,Production,0.86
494,53-4041,Transportation - Material Moving,0.86
495,31-9096,Healthcare Support,0.86
496,51-9032,Production,0.86
497,41-9022,Sales,0.86
498,51-4011,Production,0.86
499,49-9043,Installation - Maintenance - Repair,0.86
500,43-4021,Office - Administrative Support,0.86
501,45-209,Farming - Fishing - Forestry,0.87
502,45-4011,Farming - Fishing - Forestry,0.87
503,51-4052,Production,0.87
504,47-2041,Construction,0.87
505,47-2142,Construction,0.87
506,13-1021,Business - Financial Operations,0.87
507,51-7021,Production,0.87
508,35-2021,Food Preparation,0.87
509,47-2043,Construction,0.87
510,53-6021,Transportation - Material Moving,0.87
511,47-4051,Construction,0.87
512,47-2061,Construction,0.88
513,43-5061,Office - Administrative Support,0.88
514,51-9141,Production,0.88
515,17-1021,Architecture - Engineering,0.88
516,51-4051,Production,0.88
517,51-9012,Production,0.88
518,51-6091,Production,0.88
519,47-2053,Construction,0.88
520,51-4194,Production,0.88
521,49-3043,Installation - Maintenance - Repair,0.88
522,51-3011,Production,0.89
523,31-9094,Healthcare Support,0.89
524,47-2022,Construction,0.89
525,53-3022,Transportation - Material Moving,0.89
526,27-3042,Art - Design - Media - Sports,0.89
527,49-9096,Installation - Maintenance - Repair,0.89
528,47-4061,Construction,0.89
529,51-8021,Production,0.89
530,51-6031,Production,0.89
531,53-3041,Transportation - Material Moving,0.89
532,43-4161,Office - Administrative Support,0.9
533,29-2011,Health Care - Technical,0.9
534,47-2171,Construction,0.9
535,47-2181,Construction,0.9
536,53-7021,Transportation - Material Moving,0.9
537,53-6041,Transportation - Material Moving,0.9
538,53-6051,Transportation - Material Moving,0.9
539,51-4062,Production,0.9
540,51-9195,Production,0.9
541,13-2021,Business - Financial Operations,0.9
542,53-7072,Transportation - Material Moving,0.9
543,49-9097,Installation - Maintenance - Repair,0.9
544,39-3012,Personal Care - Service,0.91
545,49-9063,Installation - Maintenance - Repair,0.91
546,39-7011,Personal Care - Service,0.91
547,49-9011,Installation - Maintenance - Repair,0.91
548,51-3091,Production,0.91
549,53-7071,Transportation - Material Moving,0.91
550,29-2071,Health Care - Technical,0.91
551,51-9121,Production,0.91
552,51-4081,Production,0.91
553,53-4013,Transportation - Material Moving,0.91
554,49-2093,Installation - Maintenance - Repair,0.91
555,35-9011,Food Preparation,0.91
556,51-4191,Production,0.91
557,19-4041,Life - Physical - Social Science,0.91
558,49-3021,Installation - Maintenance - Repair,0.91
559,51-7032,Production,0.91
560,51-4021,Production,0.91
561,43-9071,Office - Administrative Support,0.92
562,29-2052,Health Care - Technical,0.92
563,43-4131,Office - Administrative Support,0.92
564,53-7031,Transportation - Material Moving,0.92
565,41-3021,Sales,0.92
566,51-7011,Production,0.92
567,51-9123,Production,0.92
568,47-4031,Construction,0.92
569,51-4193,Production,0.92
570,41-2031,Sales,0.92
571,35-3021,Food Preparation,0.92
572,51-9399,Production,0.92
573,47-3012,Construction,0.92
574,51-9193,Production,0.93
575,51-2091,Production,0.93
576,47-5013,Construction,0.93
577,53-7011,Transportation - Material Moving,0.93
578,49-3053,Installation - Maintenance - Repair,0.93
579,53-4012,Transportation - Material Moving,0.93
580,53-7063,Transportation - Material Moving,0.93
581,51-4061,Production,0.93
582,49-2021,Installation - Maintenance - Repair,0.93
583,51-3021,Production,0.93
584,51-9041,Production,0.93
585,53-7081,Transportation - Material Moving,0.93
586,13-2081,Business - Financial Operations,0.93
587,51-4022,Production,0.93
588,53-7051,Transportation - Material Moving,0.93
589,13-2011,Business - Financial Operations,0.94
590,51-4032,Production,0.94
591,43-9051,Office - Administrative Support,0.94
592,35-3031,Food Preparation,0.94
593,51-3022,Production,0.94
594,13-2031,Business - Financial Operations,0.94
595,47-2051,Construction,0.94
596,49-3091,Installation - Maintenance - Repair,0.94
597,49-9091,Installation - Maintenance - Repair,0.94
598,51-4121,Production,0.94
599,43-5021,Office - Administrative Support,0.94
600,43-4111,Office - Administrative Support,0.94
601,35-2015,Food Preparation,0.94
602,53-7032,Transportation - Material Moving,0.94
603,47-3014,Construction,0.94
604,43-4081,Office - Administrative Support,0.94
605,51-9197,Production,0.94
606,41-9091,Sales,0.94
607,37-1011,Building - Grounds Cleaning,0.94
608,45-2011,Farming - Fishing - Forestry,0.94
609,23-2011,Legal,0.94
610,39-5092,Personal Care - Service,0.95
611,43-5111,Office - Administrative Support,0.95
612,51-6062,Production,0.95
613,43-3011,Office - Administrative Support,0.95
614,51-8011,Production,0.95
615,33-9031,Protective Services,0.95
616,43-4121,Office - Administrative Support,0.95
617,47-2073,Construction,0.95
618,51-5113,Production,0.95
619,45-2021,Farming - Fishing - Forestry,0.95
620,51-4072,Production,0.95
621,51-2022,Production,0.95
622,51-9191,Production,0.95
623,37-3011,Building - Grounds Cleaning,0.95
624,51-4033,Production,0.95
625,43-5051,Office - Administrative Support,0.95
626,51-9071,Production,0.95
627,43-5032,Office - Administrative Support,0.96
628,43-4171,Office - Administrative Support,0.96
629,43-9061,Office - Administrative Support,0.96
630,11-3111,Management,0.96
631,43-2011,Office - Administrative Support,0.96
632,35-3022,Food Preparation,0.96
633,47-5051,Construction,0.96
634,43-6014,Office - Administrative Support,0.96
635,17-3031,Architecture - Engineering,0.96
636,51-7031,Production,0.96
637,51-6064,Production,0.96
638,53-4011,Transportation - Material Moving,0.96
639,39-3011,Personal Care - Service,0.96
640,49-9093,Installation - Maintenance - Repair,0.96
641,35-2014,Food Preparation,0.96
642,39-3031,Personal Care - Service,0.96
643,43-3021,Office - Administrative Support,0.96
644,53-6011,Transportation - Material Moving,0.97
645,51-7042,Production,0.97
646,51-2092,Production,0.97
647,51-6042,Production,0.97
648,51-2023,Production,0.97
649,13-1074,Business - Financial Operations,0.97
650,51-6061,Production,0.97
651,51-9081,Production,0.97
652,51-9021,Production,0.97
653,51-9022,Production,0.97
654,37-3012,Building - Grounds Cleaning,0.97
655,45-4023,Farming - Fishing - Forestry,0.97
656,51-9083,Production,0.97
657,41-2011,Sales,0.97
658,49-9061,Installation - Maintenance - Repair,0.97
659,39-3021,Personal Care - Service,0.97
660,51-5111,Production,0.97
661,41-2021,Sales,0.97
662,43-4071,Office - Administrative Support,0.97
663,41-9021,Sales,0.97
664,43-2021,Office - Administrative Support,0.97
665,19-4011,Life - Physical - Social Science,0.97
666,43-3051,Office - Administrative Support,0.97
667,43-4041,Office - Administrative Support,0.97
668,35-9031,Food Preparation,0.97
669,41-9012,Sales,0.98
670,51-9061,Production,0.98
671,43-3031,Office - Administrative Support,0.98
672,43-6012,Office - Administrative Support,0.98
673,27-4013,Art - Design - Media - Sports,0.98
674,53-3031,Transportation - Material Moving,0.98
675,113-1031,Management,0.98
676,41-2022,Sales,0.98
677,13-2041,Business - Financial Operations,0.98
678,51-4035,Production,0.98
679,43-5071,Office - Administrative Support,0.98
680,43-3061,Office - Administrative Support,0.98
681,51-9111,Production,0.98
682,51-9194,Production,0.98
683,43-3071,Office - Administrative Support,0.98
684,27-2023,Art - Design - Media - Sports,0.98
685,13-1032,Business - Financial Operations,0.98
686,13-2072,Business - Financial Operations,0.98
687,43-4151,Office - Administrative Support,0.98
688,43-4011,Office - Administrative Support,0.98
689,43-9041,Office - Administrative Support,0.98
690,51-2093,Production,0.98
691,43-9021,Office - Administrative Support,0.99
692,25-4031,Educational - Library,0.99
693,43-4141,Office - Administrative Support,0.99
694,51-9151,Production,0.99
695,13-2082,Business - Financial Operations,0.99
696,43-5011,Office - Administrative Support,0.99
697,49-9064,Installation - Maintenance - Repair,0.99
698,113-2053,Management,0.99
699,15-2091,Computer - Mathematical,0.99
700,51-6051,Production,0.99
701,23-2093,Legal,0.99
702,41-9041,Sales,0.99
